time,serviceboilerhe,brewboilerhe,pumpon
0000008020,127,0,0
0000084560,127,0,0
0000171976,127,0,0
0000259376,127,0,0
0000347488,0,0,0
0000435012,0,0,0
0000522520,0,0,0
0000610044,0,0,0
0000697552,0,0,0
0000785136,0,0,0
0000872644,0,0,0
0000960028,0,0,0
0001047440,0,0,0
0001134864,0,0,0
0001222272,0,0,0
0001309752,0,0,0
0001387604,0,0,0
0001475092,0,127,0
0001562568,0,127,0
0001650076,0,127,0
0001737564,0,0,0
0001825160,0,0,0
0001912628,0,0,0
0002000044,0,0,0
0002076584,0,0,0
0002163952,0,0,0
0002251360,0,0,0
0002339440,0,0,0
0002416344,0,0,0
0002503860,0,0,0
0002591392,0,0,0
0002678908,0,0,0
0002766416,0,0,0
0002853952,0,0,0
0002941404,0,0,0
0003028812,0,0,0
0003116228,0,0,0
0003203640,0,0,0
0003291116,0,0,0
0003379840,0,0,0
0003456420,0,127,0
0003543932,0,127,0
0003631424,0,127,0
0003718936,0,0,0
0003806512,0,0,0
0003894004,0,0,0
0003981420,0,0,0
0004068828,0,0,0
0004156220,0,0,0
0004243636,0,0,0
0004331692,0,0,0
0004419184,0,0,0
0004506700,0,0,0
0004594212,0,0,0
0004681728,0,0,0
0004769260,0,0,0
0004856796,0,0,0
0004944208,0,0,0
0005031636,0,0,0
0005119056,0,0,0
0005206468,0,0,0
0005293964,0,0,0
0005382664,0,0,0
0005470180,0,127,0
0005557632,0,127,0
0005645144,0,127,0
0005732660,0,0,0
0005820232,0,0,0
0005907708,0,0,0
0005995120,0,0,0
0006082556,0,0,0
0006169968,0,0,0
0006257340,0,0,0
0006345400,0,0,0
0006432908,0,0,0
0006685848,0,0,127
0006769644,0,0,127
0006853412,0,0,127
0006947724,0,0,127
0007031416,0,0,127
0007115012,0,0,127
0007198632,0,0,127
0007282264,0,0,127
0007365820,0,0,127
0007449496,0,0,127
0007534320,0,127,127
0007627720,0,127,127
0007710808,0,127,127
0007793892,0,127,127
0007887388,0,0,127
0007970472,0,0,127
0008053320,0,0,127
0008136224,0,0,127
0008219108,0,0,127
0008301992,0,0,127
0008385548,0,0,127
0008478780,0,0,127
0008561824,0,0,127
0008644908,0,0,127
0008738340,0,0,127
0008821428,0,0,127
0008904600,0,0,127
0008997972,0,0,127
0009080860,0,0,127
0009163704,0,0,127
0009246592,0,0,127
0009329492,0,0,127
0009412464,0,0,127
0009496868,0,0,127
0009580668,0,127,127
0009664408,0,127,127
0009748216,0,127,127
0009832016,0,0,127
0009915892,0,0,127
0009999652,0,0,127
0010083260,0,0,127
0010166836,0,0,127
0010250440,0,0,127
0010334056,0,0,127
0010418324,0,0,127
0010502004,0,0,127
0010585820,0,0,127
0010680048,0,0,127
0010763808,0,0,127
0010847628,0,0,127
0010931492,0,0,127
0011015212,0,0,127
0011098824,0,0,127
0011182428,0,0,127
0011265988,0,0,127
0011360008,0,0,127
0011443708,0,0,127
0011528708,0,127,127
0011612508,0,127,127
0011696312,0,127,127
0011790540,0,127,127
0011874344,0,0,127
0011958184,0,0,127
0012041844,0,0,127
0012125464,0,0,127
0012209064,0,0,127
0012292680,0,0,127
0012376300,0,0,127
0012470936,0,0,127
0012554416,0,0,127
0012637508,0,0,127
0012730948,0,0,127
0012814020,0,0,127
0012897180,0,0,127
0012990600,0,0,127
0013073452,0,0,127
0013156320,0,0,127
0013239228,0,0,127
0013322140,0,0,127
0013405088,0,0,127
0013489132,0,0,127
0013572164,0,127,127
0013655232,0,127,127
0013738324,0,127,127
0013831744,0,127,127
0013914892,0,127,127
0013997932,0,127,127
0014091132,0,127,127
0014173952,0,127,127
0014256844,0,127,127
0014339736,0,127,127
0014423256,0,127,127
0014506528,0,127,127
0014590332,0,127,127
0014674096,0,127,127
0014757916,0,127,127
0014852164,0,127,127
0014936048,0,127,127
0015019764,0,127,127
0015103388,0,127,127
0015186992,0,127,127
0015270568,0,127,127
0015354192,0,127,127
0015437876,0,127,127
0015522876,0,127,127
0015606676,0,127,127
0015690456,0,127,127
0015774220,0,127,127
0015858024,0,127,127
0015941888,0,127,127
0016025572,0,0,127
0016109208,0,0,127
0016203216,0,0,127
0016286840,0,0,127
0016370396,0,0,127
0016454668,0,0,127
0016538424,0,0,127
0016622812,0,0,127
0016707788,0,0,127
0016792788,0,0,127
0016877764,0,0,127
0016962760,0,0,127
0017047592,0,0,127
0017132388,0,0,127
0017217160,0,0,127
0017301956,0,0,127
0017386732,0,0,127
0017471528,0,0,127
0017557328,0,127,127
0017641560,0,127,127
0017725808,0,127,127
0017810072,0,127,127
0017904872,0,127,127
0017989100,0,127,127
0018073104,0,127,127
0018157168,0,127,127
0018241232,0,127,127
0018325276,0,127,127
0018409992,0,127,127
0018494096,0,127,127
0018578368,0,127,127
0018662572,0,127,127
0018746860,0,127,127
0018831128,0,127,127
0018915460,0,127,127
0018999688,0,127,127
0019083756,0,127,127
0019167784,0,127,127
0019251852,0,127,127
0019335936,0,127,127
0019420064,0,127,127
0019505504,0,127,127
0019590464,0,127,127
0019675384,0,127,127
0019760360,0,127,127
0019845336,0,127,127
0019930372,0,127,127
0020015268,0,127,127
0020100044,0,127,127
0020184812,0,127,127
0020269548,0,127,127
0020354324,0,127,127
0020439744,0,127,127
0020524660,0,127,127
0020609636,0,127,127
0020694628,0,127,127
0020779624,0,127,127
0020864560,0,127,127
0020949616,0,127,127
0021034492,0,127,127
0021119288,0,127,127
0021204060,0,127,127
0021288876,0,127,127
0021373624,0,127,127
0021458480,0,127,127
0021544528,0,127,127
0021629488,0,127,127
0021714464,0,127,127
0021799436,0,127,127
0021884412,0,127,127
0021969392,0,127,127
0022054224,0,127,127
0022139004,0,127,127
0022223780,0,127,127
0022308572,0,127,127
0022393976,0,127,127
0022478732,0,127,127
0022563384,0,127,127
0022658144,0,127,127
0022742408,0,127,127
0022826676,0,127,127
0022911008,0,127,127
0022995260,0,127,127
0023079284,0,127,127
0023163348,0,127,127
0023257880,0,127,127
0023341972,0,127,127
0023426100,0,127,127
0023511360,0,127,127
0023595608,0,127,127
0023679812,0,127,127
0023764068,0,127,127
0023858800,0,127,127
0023943116,0,127,127
0024027264,0,127,127
0024111328,0,127,127
0024195376,0,127,127
0024279400,0,127,127
0024363444,0,127,127
0024448164,0,127,127
0024532692,0,127,127
0024617688,0,127,127
0024702684,0,127,127
0024787660,0,127,127
0024872596,0,127,127
0024957656,0,127,127
0025042532,0,127,127
0025127308,0,127,127
0025212108,0,127,127
0025296904,0,127,127
0025381636,0,127,127
0025466516,0,127,127
0025552568,0,127,127
0025637552,0,127,127
0025722508,0,127,127
0025807488,0,127,127
0025892460,0,127,127
0025977440,0,127,127
0026062256,0,127,127
0026147012,0,127,127
0026231812,0,127,127
0026316580,0,127,127
0026402008,0,127,127
0026486800,0,127,127
0026571736,0,127,127
0026656732,0,127,127
0026741708,0,127,127
0026826704,0,127,127
