time,brewboiler,serviceboiler,waterlevel,microswitch
0000053988,92.2,124.7,792,0
0000134100,92.2,124.7,792,0
0000224088,92.2,124.7,792,0
0000314184,92.2,124.7,792,0
0000394184,92.2,124.8,792,0
0000484176,92.2,124.8,792,0
0000574172,92.2,124.8,791,0
0000664268,92.2,124.8,792,0
0000744388,92.3,124.8,792,0
0000834360,92.2,124.8,792,0
0000924456,92.3,124.8,792,0
0001014552,92.2,124.8,792,0
0001094536,92.3,124.8,792,0
0001184556,92.2,124.8,792,0
0001274536,92.3,124.8,792,0
0001354644,92.3,125.0,792,0
0001434644,92.3,125.0,792,0
0001524744,92.3,124.8,792,0
0001614728,92.2,125.0,792,0
0001704724,92.2,125.0,792,0
0001784832,92.3,125.0,792,0
0001874936,92.3,125.0,792,0
0001964940,92.3,125.0,792,0
0002044916,92.3,125.0,792,0
0002125040,92.3,125.0,792,0
0002215144,92.3,125.0,792,0
0002305028,92.3,125.0,792,0
0002385128,92.3,125.0,792,0
0002465148,92.3,125.0,792,0
0002555232,92.3,125.0,792,0
0002645236,92.2,125.2,792,0
0002725336,92.3,125.2,792,0
0002815340,92.3,125.2,792,0
0002905464,92.3,125.2,792,0
0002995452,92.3,125.2,792,0
0003075432,92.3,125.2,792,0
0003165516,92.3,125.2,792,0
0003255620,92.3,125.2,792,0
0003345604,92.3,125.2,791,0
0003425584,92.3,125.2,792,0
0003505664,92.3,125.2,792,0
0003595648,92.3,125.3,792,0
0003685632,92.3,125.2,792,0
0003765732,92.3,125.2,792,0
0003855820,92.3,125.3,792,0
0003945804,92.2,125.2,792,0
0004035788,92.3,125.3,792,0
0004115912,92.3,125.3,792,0
0004205892,92.2,125.3,792,0
0004295896,92.3,125.3,792,0
0004386004,92.3,125.3,792,0
0004466004,92.3,125.3,792,0
0004556128,92.3,125.3,792,0
0004646152,92.2,125.3,792,0
0004736260,92.3,125.3,792,0
0004816260,92.2,125.3,792,0
0004906364,92.3,125.3,792,0
0004996368,92.2,125.3,792,0
0005086376,92.2,125.3,792,0
0005166480,92.2,125.3,792,0
0005256504,92.2,125.3,792,0
0005346608,92.2,125.3,792,0
0005436612,92.3,125.5,792,0
0005516712,92.3,125.3,792,0
0005606820,92.2,125.3,792,0
0005696724,92.2,125.3,792,0
0005786868,92.2,125.3,792,0
0005866968,92.2,125.5,792,0
0005956996,92.3,125.5,791,0
0006047100,92.3,125.3,792,0
0006137008,92.2,125.5,792,0
0006217128,92.2,125.3,792,0
0006307216,92.2,125.3,792,0
0006397244,92.2,125.3,792,255
0006487336,92.2,125.5,792,255
0006737364,92.2,125.3,792,255
0006817468,92.2,125.5,790,255
0006907580,92.2,125.5,791,255
0006997676,92.2,125.5,791,255
0007077684,92.2,125.5,791,255
0007167700,92.2,125.5,792,255
0007247716,92.3,125.5,792,255
0007327828,92.3,125.5,791,255
0007417840,92.2,125.5,792,255
0007497952,92.3,125.5,792,255
0007587964,92.3,125.5,792,255
0007678080,92.2,125.5,792,255
0007758108,92.2,125.5,792,255
0007848124,92.3,125.5,791,255
0007938236,92.2,125.5,792,255
0008018364,92.2,125.5,792,255
0008098272,92.2,125.5,792,255
0008188488,92.3,125.5,792,255
0008268396,92.2,125.5,792,255
0008348504,92.2,125.5,792,255
0008438616,92.3,125.5,792,255
0008528628,92.2,125.5,792,255
0008608744,92.3,125.5,792,255
0008698648,92.2,125.5,792,255
0008788760,92.2,125.5,792,255
0008868876,92.2,125.5,792,255
0008958888,92.2,125.5,792,255
0009048984,92.2,125.3,792,255
0009128996,92.2,125.5,792,255
0009209104,92.2,125.5,792,255
0009298996,92.2,125.5,792,255
0009379128,92.2,125.5,792,255
0009459120,92.2,125.3,792,255
0009549216,92.0,125.5,792,255
0009629308,92.2,125.3,792,255
0009709216,92.2,125.5,791,255
0009799308,92.0,125.5,791,255
0009879424,92.2,125.3,792,255
0009969432,92.2,125.3,792,255
0010049528,92.0,125.5,792,255
0010129544,92.2,125.5,792,255
0010219644,92.2,125.5,792,255
0010299656,92.0,125.5,792,255
0010379672,92.0,125.5,792,255
0010469768,92.0,125.5,792,255
0010549780,92.0,125.3,792,255
0010639896,92.0,125.5,792,255
0010729896,92.0,125.3,792,255
0010809908,92.0,125.5,792,255
0010900028,92.0,125.5,792,255
0010980020,91.9,125.3,792,255
0011060012,91.9,125.3,792,255
0011150132,92.0,125.3,792,255
0011230212,92.0,125.5,792,255
0011320228,91.9,125.3,791,255
0011410240,91.9,125.3,792,255
0011490360,91.9,125.3,791,255
0011580380,91.8,125.5,792,255
0011660512,91.8,125.3,792,255
0011750532,91.8,125.3,792,255
0011840552,91.8,125.3,792,255
0011920668,91.8,125.5,792,255
0012010804,91.8,125.3,792,255
0012090720,91.8,125.5,792,255
0012170836,91.7,125.3,792,255
0012260852,91.8,125.5,792,255
0012340968,91.8,125.3,792,255
0012431088,91.8,125.5,792,255
0012521108,91.7,125.3,792,255
0012601120,91.7,125.3,792,255
0012691240,91.7,125.5,792,255
0012781260,91.7,125.5,792,255
0012861384,91.8,125.3,792,255
0012951504,91.7,125.3,792,255
0013041436,91.7,125.5,792,255
0013121556,91.7,125.3,792,255
0013201568,91.7,125.5,792,255
0013291688,91.6,125.3,792,255
0013371700,91.7,125.3,792,255
0013451836,91.6,125.3,792,255
0013541852,91.6,125.5,792,255
0013621864,91.7,125.3,791,255
0013701876,91.6,125.5,792,255
0013792104,91.6,125.3,791,255
0013882012,91.6,125.3,792,255
0013962136,91.6,125.5,792,255
0014052148,91.6,125.3,792,255
0014142268,91.5,125.3,792,255
0014222288,91.6,125.3,792,255
0014302404,91.5,125.3,792,255
0014392420,91.5,125.3,792,255
0014472516,91.5,125.3,792,255
0014552648,91.5,125.2,792,255
0014642648,91.5,125.3,792,255
0014722664,91.5,125.3,792,255
0014812660,91.5,125.3,792,255
0014902780,91.3,125.3,792,255
0014982792,91.3,125.3,792,255
0015072892,91.3,125.3,792,255
0015152912,91.3,125.3,791,255
0015232916,91.3,125.3,792,255
0015323032,91.3,125.3,792,255
0015403132,91.3,125.3,792,255
0015483128,91.2,125.3,792,255
0015573128,91.3,125.3,792,255
0015653244,91.2,125.2,792,255
0015743240,91.2,125.3,792,255
0015823356,91.2,125.3,792,255
0015903372,91.1,125.3,791,255
0015993496,91.2,125.3,792,255
0016073620,91.1,125.3,792,255
0016163508,91.1,125.2,792,255
0016253628,91.1,125.2,792,255
0016333752,91.1,125.2,792,255
0016423768,91.1,125.3,792,255
0016503764,91.0,125.3,791,255
0016583880,91.0,125.3,792,255
0016673896,91.0,125.2,792,255
0016753912,91.0,125.2,792,255
0016844032,91.0,125.3,792,255
0016924044,91.0,125.3,792,255
0017014084,90.9,125.2,791,255
0017094280,91.0,125.3,792,255
0017184196,90.9,125.2,792,255
0017264312,90.9,125.2,792,255
0017354332,90.9,125.2,792,255
0017434328,90.7,125.2,792,255
0017524548,90.7,125.3,792,255
0017604548,90.7,125.2,792,255
0017694568,90.7,125.2,792,255
0017774664,90.7,125.3,792,255
0017864684,90.7,125.2,792,255
0017954804,90.6,125.3,792,255
0018034816,90.6,125.2,792,255
0018124836,90.6,125.3,792,255
0018204972,90.6,125.2,792,255
0018294988,90.6,125.2,792,255
0018375004,90.6,125.2,792,255
0018455124,90.6,125.2,792,255
0018545160,90.5,125.3,792,255
0018625172,90.5,125.3,792,255
0018715272,90.5,125.2,792,255
0018795288,90.4,125.2,792,255
0018885392,90.4,125.2,792,255
0018965512,90.5,125.2,792,255
0019045508,90.4,125.2,791,255
0019135632,90.4,125.2,792,255
0019215532,90.4,125.3,792,255
0019305648,90.3,125.2,792,255
0019385644,90.3,125.2,792,255
0019465760,90.3,125.2,792,255
0019555780,90.3,125.2,792,255
0019635916,90.1,125.2,792,255
0019725936,90.1,125.2,792,255
0019806032,90.1,125.2,792,255
0019896048,90.1,125.2,792,255
0019976152,90.0,125.2,792,255
0020066172,90.0,125.2,792,255
0020146264,89.9,125.2,792,255
0020236264,89.9,125.2,792,255
0020316280,89.9,125.2,792,255
0020406404,89.9,125.2,792,255
0020486400,89.8,125.2,791,255
0020576512,89.8,125.2,792,255
0020656424,89.8,125.0,792,255
0020746644,89.8,125.2,792,255
0020826660,89.8,125.2,791,255
0020916676,89.8,125.2,792,255
0020996772,89.8,125.2,792,255
0021086788,89.7,125.2,792,255
0021166804,89.6,125.2,792,255
0021256900,89.7,125.2,791,255
0021336896,89.6,125.2,792,255
0021427016,89.4,125.2,792,255
0021507016,89.4,125.2,792,255
0021597036,89.4,125.2,792,255
0021677128,89.4,125.0,792,255
0021767128,89.4,125.2,792,255
0021847220,89.3,125.2,792,255
0021937340,89.3,125.2,792,255
0022017336,89.3,125.0,792,255
0022107456,89.3,125.2,792,255
0022187472,89.2,125.2,792,255
0022277572,89.2,125.2,792,255
0022357468,89.1,125.2,791,255
0022447588,89.2,125.2,792,255
0022527704,89.1,125.0,792,255
0022617708,89.1,125.2,792,255
0022707724,89.1,125.0,792,255
0022787820,89.0,125.0,792,255
0022877840,89.0,125.2,792,255
0022957836,89.0,125.2,792,255
0023047956,89.0,125.0,792,255
0023128060,88.8,125.2,791,255
0023218080,88.8,125.0,792,255
0023308072,88.8,125.0,792,255
0023388176,88.7,125.0,792,255
0023478296,88.8,125.2,792,255
0023558292,88.8,125.0,792,255
0023648292,88.7,125.0,792,255
0023728288,88.7,125.0,792,255
0023818408,88.7,125.0,791,255
0023908528,88.6,125.0,791,255
0023988528,88.6,125.0,792,255
0024078648,88.6,125.0,792,255
0024158644,88.7,125.2,792,255
0024248644,88.6,125.2,792,255
0024328740,88.5,125.0,792,255
0024408756,88.6,125.0,792,255
0024498756,88.5,125.0,792,255
0024578876,88.6,125.0,792,255
0024668972,88.5,125.0,792,255
0024748888,88.5,125.0,792,255
0024838988,88.5,125.0,792,255
0024919088,88.5,125.0,792,255
0025008984,88.5,125.0,792,255
0025089084,88.5,125.0,792,255
0025179184,88.4,125.0,792,255
0025259184,88.4,125.0,792,255
0025349264,88.4,125.2,792,255
0025429280,88.4,125.0,792,255
0025519304,88.4,125.0,792,255
0025599404,88.4,125.0,792,255
0025689428,88.4,125.0,792,255
0025769544,88.4,125.0,792,255
0025859540,88.4,125.0,792,255
0025939676,88.4,125.0,792,255
0026029696,88.4,125.0,792,255
0026109820,88.4,125.0,792,255
0026199816,88.4,125.0,792,255
0026279940,88.4,125.0,792,255
0026369832,88.4,125.0,792,255
0026449952,88.5,125.0,792,255
0026539948,88.5,125.0,791,255
0026620064,88.5,125.0,792,255
0026710164,88.5,125.0,792,255
0026790156,88.5,125.0,792,255
0026880276,88.4,125.0,792,255
0026960148,88.4,125.0,792,255
0027050248,88.4,125.0,792,255
0027130364,88.5,125.0,792,255
0027220364,88.5,125.0,792,255
0027300460,88.5,125.0,792,255
0027390456,88.5,125.0,792,255
0027470456,88.5,125.0,792,255
0027560556,88.5,125.0,792,255
0027640680,88.6,125.0,792,255
0027720656,88.5,125.0,792,255
0027810648,88.6,125.0,792,255
0027890752,88.6,125.0,792,255
0027980752,88.6,125.0,792,255
0028060872,88.6,125.0,792,255
0028150872,88.6,124.8,792,255
0028240872,88.7,125.0,792,255
0028320988,88.6,125.0,792,255
0028410988,88.7,125.0,792,255
0028490984,88.7,125.0,792,255
0028581084,88.7,125.0,792,255
0028661180,88.7,125.0,792,255
0028751184,88.8,125.0,791,255
0028841164,88.8,125.0,792,255
0028921260,88.8,125.0,792,255
0029011240,89.0,125.0,792,255
0029091356,89.0,125.0,792,255
0029181356,89.1,125.0,792,255
0029261452,89.0,125.0,792,255
0029341348,89.1,125.0,792,255
0029431552,89.2,125.0,792,255
0029511576,89.2,125.0,792,255
0029601592,89.2,125.0,792,255
0029681692,89.2,124.8,792,255
0029771712,89.2,125.0,792,255
0029851828,89.3,124.8,792,255
0029941828,89.3,125.0,792,255
0030021828,89.3,124.8,792,255
0030111928,89.3,125.0,792,255
0030191948,89.4,125.0,792,255
0030281952,89.4,124.8,792,255
0030362068,89.4,125.0,792,255
0030452172,89.4,125.0,792,255
0030532068,89.6,124.8,792,255
0030622168,89.6,124.8,792,255
0030702288,89.6,125.0,792,255
0030792292,89.6,124.8,792,255
0030872288,89.6,124.8,792,255
0030962428,89.6,124.8,792,255
0031042452,89.7,125.0,792,255
0031132576,89.7,124.8,792,255
0031212692,89.7,124.8,792,255
0031302712,89.7,124.8,792,255
0031382732,89.7,125.0,792,255
0031472836,89.8,124.8,792,255
0031552848,89.8,124.8,792,255
0031642848,89.8,124.8,792,255
0031722948,89.8,124.8,792,255
0031813068,89.8,125.0,792,255
0031893048,89.8,125.0,792,255
0031983048,89.9,124.8,792,255
0032063164,89.9,124.8,792,255
0032153164,89.9,124.8,792,255
0032233300,89.9,124.8,792,255
0032313200,89.9,124.8,792,255
0032403424,90.0,124.8,792,255
0032483440,90.0,125.0,792,255
0032573436,90.0,124.8,792,255
0032653436,90.1,124.8,792,255
0032743536,90.0,124.8,792,255
0032823532,90.0,124.8,792,255
0032913628,90.1,124.8,792,255
0032993720,90.1,124.8,792,255
0033083716,90.1,124.8,792,255
0033173716,90.1,124.8,792,255
0033253712,90.1,124.8,792,255
0033343812,90.1,124.8,792,255
0033423928,90.3,124.8,792,255
0033513904,90.1,124.8,792,255
0033594020,90.3,124.8,792,255
0033684016,90.3,124.8,792,255
0033773996,90.3,124.8,792,255
0033854008,90.3,124.8,792,255
0033944108,90.3,124.8,792,255
0034024104,90.3,124.8,792,255
0034114200,90.4,124.8,792,255
0034194320,90.4,124.8,792,255
0034274336,90.4,124.8,792,255
0034364336,90.4,124.8,792,255
0034444356,90.4,124.8,792,255
0034534372,90.4,124.8,792,255
0034614488,90.4,124.8,792,255
0034704508,90.5,124.8,792,255
0034784624,90.5,124.8,792,255
0034874640,90.5,124.8,792,255
0034954736,90.5,124.8,792,255
0035044756,90.5,124.8,792,255
0035124852,90.4,124.8,792,255
0035214956,90.4,124.8,792,255
0035294948,90.5,124.8,792,255
0035384948,90.5,124.8,792,255
0035465044,90.5,124.8,792,255
0035555144,90.5,124.8,792,255
0035635148,90.5,124.8,792,255
0035725144,90.5,124.8,791,255
0035805148,90.5,124.7,792,255
0035895144,90.5,124.8,792,255
0035975240,90.5,124.8,792,255
0036065360,90.5,124.8,792,255
0036145352,90.5,124.8,792,255
0036235352,90.6,124.8,792,255
0036315448,90.6,124.7,792,255
0036405552,90.5,124.8,792,255
0036485548,90.6,124.7,792,255
0036575544,90.6,124.8,792,255
0036655664,90.6,124.8,792,255
0036745768,90.6,124.8,792,255
0036825664,90.6,124.8,792,255
0036915748,90.6,124.7,792,255
0036995860,90.6,124.8,792,255
0037085840,90.7,124.8,792,255
0037175940,90.6,124.8,792,255
0037265920,90.7,124.8,792,255
0037356020,90.6,124.8,792,255
0037446000,90.6,124.8,792,255
0037536100,90.6,124.8,792,255
0037626000,90.7,124.8,792,255
0037706100,90.7,124.7,792,255
0037786096,90.7,124.8,792,255
0037876096,90.6,124.7,792,255
0037956296,90.7,124.8,792,255
0038046296,90.6,124.8,792,255
0038126292,90.6,124.8,792,255
0038216376,90.6,124.7,792,255
0038306376,90.6,124.8,792,255
0038386356,90.6,124.8,792,255
0038476460,90.6,124.8,792,255
0038556456,90.6,124.7,792,255
0038646536,90.6,124.7,792,255
0038726540,90.7,124.8,792,255
0038816532,90.6,124.7,792,255
0038906612,90.7,124.7,792,255
0038986720,90.6,124.8,792,255
0039076720,90.6,124.8,792,255
0039156696,90.6,124.7,792,255
0039246700,90.6,124.8,792,255
0039326780,90.6,124.8,792,255
0039406896,90.6,124.7,792,255
0039496872,90.6,124.7,792,255
0039576868,90.6,124.7,792,255
0039666868,90.6,124.8,792,255
0039746968,90.5,124.7,792,255
0039837068,90.6,124.8,792,255
0039917184,90.6,124.8,792,255
0040007188,90.6,124.8,792,255
0040087184,90.6,124.8,792,255
0040177184,90.5,124.8,792,255
0040257280,90.6,124.8,792,255
0040347300,90.6,124.7,792,255
0040427424,90.6,124.8,792,255
0040517416,90.5,124.8,792,255
0040597540,90.5,124.8,792,255
0040687544,90.5,124.8,792,255
0040767540,90.5,124.8,792,255
0040857640,90.5,124.7,792,255
0040937636,90.6,124.7,792,0
0041027728,90.6,124.7,792,0
0041117720,90.5,124.7,792,0
0041207712,90.6,124.8,792,0
0041287820,90.5,124.7,792,0
0041377808,90.5,124.8,792,0
0041457796,90.5,124.7,792,0
0041548008,90.5,124.7,792,0
0041638020,90.5,124.8,792,0
0041718008,90.5,124.8,792,0
0041808000,90.5,124.7,792,0
0041898092,90.5,124.7,792,0
0041978080,90.5,124.7,792,0
0042068188,90.5,124.8,792,0
0042148296,90.6,124.7,792,0
0042238284,90.5,124.8,792,0
0042328272,90.5,124.8,792,0
0042408280,90.5,124.7,792,0
0042498492,90.5,124.7,792,0
0042588480,90.5,124.8,792,0
0042668468,90.5,124.8,792,0
0042758576,90.5,124.7,792,0
0042838564,90.5,124.7,792,0
0042928576,90.4,124.8,792,0
0043018688,90.4,124.7,792,0
0043098676,90.4,124.7,792,0
0043188784,90.4,124.7,792,0
0043268772,90.4,124.7,792,0
0043358764,90.4,124.7,792,0
0043448876,90.5,124.7,792,0
0043528864,90.4,124.7,792,0
0043618972,90.3,124.8,792,0
0043708984,90.3,124.7,792,0
0043789072,90.3,124.7,792,0
0043879104,90.4,124.7,792,0
0043959176,90.4,124.7,792,0
0044039188,90.4,124.7,792,0
0044129200,90.4,124.7,792,0
0044209204,90.4,124.7,792,0
0044299316,90.4,124.7,792,0
0044379324,90.4,124.7,792,0
0044469436,90.4,124.7,792,0
0044559532,90.4,124.7,792,0
0044639540,90.4,124.8,792,0
0044729532,90.4,124.7,792,0
0044819628,90.3,124.7,792,0
0044899632,90.4,124.7,792,0
0044989624,90.4,124.7,792,0
0045069736,90.5,124.7,792,0
0045159748,90.4,124.7,792,0
0045249840,90.5,124.7,792,0
0045329924,90.4,124.7,792,0
0045419936,90.5,124.7,792,0
0045499928,90.5,124.7,792,0
0045579916,90.4,124.7,792,0
0045670028,90.5,124.7,792,0
0045750020,90.5,124.8,792,0
0045840032,90.5,124.7,792,0
0045930244,90.5,124.7,792,0
0046010236,90.6,124.7,792,0
0046100348,90.5,124.7,792,0
0046180236,90.6,124.8,792,0
0046270428,90.6,124.7,792,0
0046360412,90.6,124.7,792,0
0046440408,90.7,124.7,792,0
0046530500,90.6,124.7,792,0
0046610488,90.6,124.7,792,0
0046700460,90.6,124.7,792,0
0046790552,90.7,124.7,792,0
0046870524,90.7,124.7,792,0
0046960616,90.7,124.5,792,0
0047050584,90.7,124.7,792,0
0047130680,90.9,124.7,792,0
0047220656,90.9,124.7,792,0
0047300624,90.9,124.7,792,0
