time,b2,b5,b8,b11,b14
8877524,814,808,754,735,813
9077660,814,808,754,735,799
9157824,814,808,754,735,798
9237868,814,808,754,735,798
9317952,814,808,754,735,797
9398120,814,808,754,735,797
9478164,814,808,754,735,797
9568232,814,808,753,735,798
9648396,814,808,754,735,797
9728440,814,808,754,736,797
9808600,814,808,754,735,797
9888628,814,808,754,735,797
9968792,814,808,754,735,797
10048836,814,808,754,735,797
10128984,814,808,754,735,797
10208916,814,808,754,735,798
10289052,814,808,754,735,797
10379096,814,808,754,735,797
10459232,814,808,754,735,797
10539380,814,808,754,735,797
10619424,814,808,754,735,798
10699472,814,808,753,735,797
10779628,814,808,753,735,797
10859672,814,808,754,735,797
10939800,814,808,753,735,797
11019848,814,808,754,735,797
11099876,814,808,754,735,797
11180032,814,808,754,735,798
11260060,814,808,754,735,798
11340128,814,808,754,735,798
11420256,814,808,754,735,797
11500412,814,808,754,735,797
11580340,814,808,754,735,797
11660508,814,808,754,735,797
11740656,814,808,754,735,797
11820708,814,808,754,735,798
11900756,814,808,754,735,797
11990808,814,808,754,735,797
12081068,814,808,754,735,798
12171120,814,808,754,735,797
12251148,814,808,754,735,798
12341284,814,808,754,735,797
12431336,814,808,754,735,798
12521468,814,808,754,735,797
12611480,814,808,753,735,798
12691608,814,808,754,735,797
12771536,814,808,754,735,798
12861768,814,808,753,735,797
12951800,814,808,754,735,798
13031848,814,808,754,735,797
13121880,814,808,754,734,798
13202024,814,808,754,735,797
13292076,814,808,754,735,797
13372224,814,808,754,735,798
13462252,814,808,754,735,797
13552284,814,808,754,735,798
13632436,814,808,754,734,797
13722488,814,808,754,735,797
13812616,814,808,754,735,797
13892744,814,808,754,735,797
13982796,814,808,754,735,797
14072828,814,808,754,735,797
14162860,814,808,754,735,797
14253092,814,808,754,735,797
14343124,814,808,754,735,798
14423252,814,808,754,735,798
14513284,814,808,754,735,798
14603336,814,808,754,735,798
14683484,814,808,754,735,797
14763412,814,808,754,735,797
14853664,814,808,753,735,798
