time,b2,b5,b8,b16,b11
1793592,600,614,385,436,450
1993836,600,614,384,419,449
2073984,600,614,384,418,449
2154052,600,614,384,418,450
2234100,600,614,384,417,449
2314256,600,614,383,414,449
2394392,600,614,384,418,450
2484344,600,614,384,417,450
2564476,600,614,384,418,450
2644624,600,614,384,417,449
2724672,600,614,384,417,449
2804704,600,614,384,417,450
2884732,600,614,384,416,449
2964864,600,614,384,417,449
3045012,600,614,384,417,449
3125020,600,614,383,414,450
3205044,600,614,384,418,450
3295176,600,614,384,417,450
3375204,600,614,384,418,450
3455332,600,614,384,418,450
3535260,600,614,384,417,450
3615392,600,614,384,417,450
3695528,600,614,384,416,449
3775656,600,614,384,418,450
3855688,600,614,384,416,449
3935716,600,614,384,416,449
4015848,600,614,383,413,449
4095872,600,614,384,416,449
4175900,600,614,384,416,449
4256052,600,614,384,417,450
4336060,600,614,384,418,450
4416108,600,614,384,418,450
4496244,600,614,384,417,449
4576252,600,614,384,417,450
4656404,600,614,384,416,449
4736452,600,614,384,417,450
4816580,600,614,384,416,449
4896616,600,614,384,417,450
4986624,600,614,384,416,449
5076656,600,614,384,416,449
5156796,600,614,384,416,449
5246828,600,614,384,416,449
5336940,600,614,384,416,449
5436968,600,614,384,416,449
5527084,600,614,384,418,450
5617216,600,614,384,417,449
5717252,600,614,384,417,449
5807388,600,614,384,417,449
5897404,600,614,384,416,449
5977432,600,614,384,418,450
6067448,600,614,384,417,449
6157584,600,614,384,417,449
6257740,600,614,384,417,450
6347776,600,614,384,416,449
6427808,600,614,384,418,450
6507916,600,614,384,418,450
6587948,600,614,384,417,449
6668056,600,614,384,417,449
6748072,600,614,385,417,449
6828204,600,614,384,418,450
6908212,600,614,384,418,450
6998244,600,614,384,417,449
7088376,600,614,384,417,450
7168384,600,614,384,416,449
7258396,600,614,384,418,450
7348532,600,614,384,418,450
7448648,600,614,384,416,449
7538684,600,614,384,416,449
7628796,600,614,384,418,450
7728792,600,614,384,417,449
7818808,600,614,385,419,450
7908920,600,614,384,417,450
7989032,600,614,384,417,449
8079044,600,614,385,417,449
8169140,600,614,385,419,450
8249048,600,614,385,419,450
