time,b2,b5,b8,b16,b11,b14
75796,585,529,315,413,111,537
165780,585,529,315,413,111,537
245772,585,529,314,412,111,537
335868,585,529,315,413,111,537
425964,585,529,315,413,111,537
515932,585,528,314,410,110,537
596032,585,529,314,411,111,536
686032,585,529,314,412,111,537
776048,585,529,314,412,111,537
866140,585,529,315,413,111,537
946240,585,528,314,410,110,537
1036236,585,529,315,413,111,537
1126232,585,529,315,413,111,537
1216236,585,529,315,413,111,537
1296340,585,528,314,410,110,537
1386360,585,528,315,411,110,537
1476464,585,529,315,413,111,537
1556564,585,529,315,413,111,537
1636560,585,529,314,412,111,537
1726564,585,528,315,411,110,537
1816568,585,529,315,413,111,537
1896684,585,529,315,413,111,537
1986808,585,529,315,413,111,537
2076812,585,529,315,413,111,537
2166832,585,529,315,413,111,537
2246952,585,528,315,411,110,537
2326952,585,529,315,413,111,537
2416956,585,529,315,413,111,537
2507064,585,529,315,413,111,537
2587184,585,528,315,411,110,537
2677184,585,528,315,411,110,537
2767188,585,528,314,410,110,537
2847288,585,529,314,412,111,537
2927388,585,528,315,411,110,537
3017392,585,529,315,413,111,537
3107400,585,529,315,413,111,537
3187400,585,529,315,413,111,537
3267528,585,528,315,411,110,537
3357628,585,529,314,412,111,537
3447624,585,529,315,413,111,537
3527632,585,528,315,411,110,537
3617628,585,529,315,413,111,537
3707760,585,529,314,412,111,537
3797776,585,529,314,412,111,537
3877884,585,529,315,413,111,537
3968012,585,529,315,413,111,537
4058032,585,529,315,413,111,537
4148052,585,529,315,413,111,537
4228176,585,528,315,411,110,537
4318180,585,528,315,411,110,537
4408304,585,528,315,411,110,537
4498308,585,529,314,412,111,537
4578408,585,529,315,413,111,537
4668432,585,528,315,411,110,537
4758540,585,528,315,411,110,537
4848544,585,529,315,413,111,537
4928668,585,528,314,410,110,537
5018688,585,528,315,411,110,537
5108692,585,528,315,411,110,537
5188816,585,528,315,411,110,537
5268816,585,528,315,410,110,536
5358940,585,528,315,411,110,537
5448844,585,528,315,411,110,537
5528964,585,528,315,411,110,537
5609084,585,528,315,411,110,537
5699128,585,528,315,410,109,537
5789252,585,528,315,410,109,537
5869272,585,528,315,411,110,537
5959300,585,528,315,410,109,537
