               P         C
80:00:00:00 00000000:00000000:00000000 -- Safe default, everything off
80:00:07:00 00000000:00000111:00000000
80:00:07:04 00000000:00000111:00000100
80:00:08:00 00000000:00001000:00000000
80:00:08:08 00000000:00001000:00001000
80:00:0F:00 00000000:00001111:00000000
80:00:0F:04 00000000:00001111:00000100
80:01:00:00 00000001:00000000:00000000
80:01:00:08 00000001:00000000:00001000
80:01:07:00 00000001:00000111:00000000
80:01:07:04 00000001:00000111:00000100
80:01:07:08 00000001:00000111:00001000
80:10:00:00 00010000:00000000:00000000
80:10:08:00 00010000:00001000:00000000
80:10:17:00 00010000:00010111:00000000
80:11:17:00 00010001:00010111:00000000
