time,serviceboilerhe,brewboilerhe,pumpon
0000023384,0,127,0
0000111448,0,127,0
0000198936,127,0,0
0000286436,127,0,0
0000373944,127,0,0
0000461468,127,0,0
0000548976,127,0,0
0000636496,127,0,0
0000723928,127,0,0
0000811332,127,0,0
0000898752,127,0,0
0000986164,127,0,0
0001073628,127,0,0
0001161608,127,0,0
0001249116,0,127,0
0001336568,0,127,0
0001424076,0,127,0
0001511588,0,127,0
0001588268,0,127,0
0001675736,0,127,0
0001763144,0,127,0
0001850560,0,127,0
0001937904,0,127,0
0002025340,0,127,0
0002113396,0,127,0
0002200884,127,0,0
0002277484,127,0,0
0002364996,127,0,0
0002452512,127,0,0
0002539964,127,0,0
0002627560,127,0,0
0002714984,127,0,0
0002802396,127,0,0
0002878916,127,0,0
0002966324,127,0,0
0003053800,127,0,0
0003141172,127,0,0
0003218624,0,127,0
0003306132,0,127,0
0003393648,0,127,0
0003481156,0,127,0
0003568732,0,127,0
0003656220,0,127,0
0003743636,0,127,0
0003831004,0,127,0
0003918416,0,127,0
0004005812,0,127,0
0004093868,0,127,0
0004181340,127,0,0
0004268848,127,0,0
0004356364,127,0,0
0004443872,127,0,0
0004531328,127,0,0
0004618900,127,0,0
0004706356,127,0,0
0004793748,127,0,0
0004881156,127,0,0
0004968592,127,0,0
0005056060,127,0,0
0005143500,127,0,0
0005220584,0,127,0
0005308092,0,127,0
0005395608,0,127,0
0005483096,0,127,0
0005559776,0,127,0
0005647276,0,127,0
0005734664,0,127,0
0005822072,0,127,0
0005909468,0,127,0
0005996880,0,127,0
0006084916,0,127,0
0006172388,0,127,0
0006259888,127,0,0
0006347416,127,0,0
0006434860,127,0,0
0006511480,127,0,0
0006599052,127,0,0
0006686520,127,0,0
0006773936,127,0,0
0006861344,127,0,0
0006948760,127,0,0
0007036132,127,0,0
0007123604,127,0,0
0007211644,0,127,0
0007299140,0,127,0
0007386652,0,127,0
0007474148,0,127,0
0007561720,0,127,0
0007649236,0,127,0
0007736588,0,127,0
0007824000,0,127,0
0007911416,0,127,0
0007998824,0,127,0
0008086868,0,127,0
0008174644,0,127,0
0008262156,127,0,0
0008349652,127,0,0
0008437140,127,0,0
0008524632,127,0,0
0008612208,127,0,0
0008699660,127,0,0
0008787076,127,0,0
0008874488,127,0,0
0008961904,127,0,0
0009049312,127,0,0
0009136764,127,0,0
0009213896,0,127,0
0009301408,0,127,0
0009388904,0,127,0
0009476416,0,127,0
0009553020,0,127,0
0009640548,0,127,0
0009727968,0,127,0
0009815380,0,127,0
0009902792,0,127,0
0009990208,0,127,0
0010078260,0,127,0
0010165700,0,127,0
0010253204,127,0,0
0010340676,127,0,0
0010428172,127,0,0
0010515696,127,0,0
0010603248,127,0,0
0010690728,127,0,0
0010778144,127,0,0
0010865564,127,0,0
0010952976,127,0,0
0011040332,127,0,0
0011127812,127,0,0
0011204944,0,127,0
0011292460,0,127,0
0011379964,0,127,0
0011467460,0,127,0
0011544008,0,127,0
0011631588,0,127,0
0011719044,0,127,0
0011806444,0,127,0
0011893844,0,127,0
0011981256,0,127,0
0012069324,0,127,0
0012156740,0,127,0
0012244200,127,0,0
0012331716,127,0,0
0012419220,127,0,0
0012506732,127,0,0
0012594296,127,0,0
0012681788,127,0,0
0012769208,127,0,0
0012856624,127,0,0
0012943972,127,0,0
0013031392,127,0,0
0013118864,127,0,0
0013196300,0,127,0
0013283812,0,127,0
0013371308,0,127,0
0013458820,0,127,0
0013535380,0,127,0
0013622972,0,127,0
0013710412,0,127,0
0013797824,0,127,0
0013885232,0,127,0
0013972632,0,127,0
0014060044,0,127,0
0014148044,0,127,0
0014235584,127,0,0
0014323080,127,0,0
0014410604,127,0,0
0014498100,127,0,0
0014585676,127,0,0
0014673160,127,0,0
0014760556,127,0,0
0014847920,127,0,0
0014935336,127,0,0
0015022756,127,0,0
0015110220,127,0,0
0015187352,0,127,0
0015274856,0,127,0
0015362356,0,127,0
0015449812,0,127,0
0015526416,0,127,0
0015614000,0,127,0
0015701460,0,127,0
0015788876,0,127,0
0015876260,0,127,0
0015963696,0,127,0
0016051056,0,127,0
0016139096,0,127,0
0016226596,127,0,0
0016314116,127,0,0
0016401620,127,0,0
0016489132,127,0,0
0016576692,127,0,0
0016664208,127,0,0
0016751568,127,0,0
0016838964,127,0,0
0016926376,127,0,0
0017013800,127,0,0
0017101272,127,0,0
0017178384,127,0,0
0017265884,0,127,0
0017353380,0,127,0
0017440844,0,127,0
0017517448,0,127,0
0017605024,0,127,0
0017692500,0,127,0
0017779904,0,127,0
0017867320,0,127,0
0017954724,0,127,0
0018042100,0,127,0
0018119268,0,127,0
0018207052,127,0,0
0018294568,127,0,0
0018382072,127,0,0
0018458680,127,0,0
0018546136,127,0,0
0018633720,127,0,0
0018721156,127,0,0
0018808552,127,0,0
0018895976,127,0,0
0018983392,127,0,0
0019070856,127,0,0
0019158296,127,0,0
0019246284,0,127,0
0019333780,0,127,0
0019421300,0,127,0
0019508800,0,127,0
0019596364,0,127,0
0019683840,0,127,0
0019771260,0,127,0
0019858676,0,127,0
0019946032,0,127,0
0020033436,0,127,0
0020121504,0,127,0
0020208980,127,0,0
0020296496,127,0,0
0020384000,127,0,0
0020471500,127,0,0
0020559004,127,0,0
0020646536,127,0,0
0020733956,127,0,0
0020821372,127,0,0
0020908788,127,0,0
0020996192,127,0,0
0021083688,127,0,0
0021160212,127,0,0
0021248196,0,127,0
0021335712,0,127,0
0021423212,0,127,0
0021499820,0,127,0
0021587396,0,127,0
0021674896,0,127,0
0021762292,0,127,0
0021849668,0,127,0
0021937068,0,127,0
0022024484,0,127,0
0022101656,0,127,0
0022189096,0,127,0
0022276616,127,0,0
0022364120,127,0,0
0022440700,127,0,0
0022528204,127,0,0
0022615776,127,0,0
0022703240,127,0,0
0022790636,127,0,0
0022878060,127,0,0
0022965456,127,0,0
0023052832,127,0,0
0023140296,127,0,0
0023228644,0,127,0
0023316164,0,127,0
0023403664,0,127,0
0023491180,0,127,0
0023578748,0,127,0
0023666244,0,127,0
0023753608,0,127,0
0023841024,0,127,0
0023928420,0,127,0
0024015844,0,127,0
0024103888,0,127,0
0024191368,127,0,0
0024278864,127,0,0
0024366368,127,0,0
0024453828,127,0,0
0024541352,127,0,0
0024628912,127,0,0
0024716372,127,0,0
0024803792,127,0,0
0024891188,127,0,0
0024978592,127,0,0
0025066008,127,0,0
0025142556,127,0,0
0025230584,0,127,0
0025318104,0,127,0
0025405588,0,127,0
0025482220,0,127,0
0025569720,0,127,0
0025657240,0,127,0
0025744656,0,127,0
0025832072,0,127,0
0025919476,0,127,0
0026006892,0,127,0
0026094940,0,127,0
0026182396,0,127,0
0026269900,127,0,0
0026357376,127,0,0
0026444880,127,0,0
0026532372,127,0,0
0026619956,127,0,0
0026707412,127,0,0
0026794824,127,0,0
0026882244,127,0,0
0026969656,127,0,0
0027057012,127,0,0
0027133612,127,0,0
0027221636,0,127,0
0027309136,0,127,0
0027396648,0,127,0
0027473232,0,127,0
0027560768,0,127,0
