time,siga,sigb,sigc,pumpon,sige,sigf,sigg,sigh,sigt
0008830644,127,63,127,127,127,127,3,7,31
0009028896,127,63,127,0,127,127,3,0,24
0009108476,127,63,127,0,127,127,3,0,24
0009188072,127,63,127,0,127,127,3,0,24
0009267672,127,63,127,0,127,127,3,0,24
0009347272,127,63,127,0,127,127,3,0,24
0009426832,127,63,127,0,127,127,3,0,24
0009514788,127,63,127,0,127,127,3,0,24
0009602712,127,63,127,0,127,127,3,0,24
0009681848,127,63,127,0,127,127,3,0,24
0009760996,127,63,127,0,127,127,3,0,24
0009840168,127,63,127,0,127,127,3,0,24
0009919276,127,63,127,0,127,127,3,0,24
0009998800,127,63,127,0,127,127,3,0,24
0010078392,127,63,127,0,127,127,3,0,24
0010157976,127,63,127,0,127,127,3,0,24
0010237580,127,63,127,0,127,127,3,0,24
0010325936,127,63,127,0,127,127,3,0,24
0010414364,127,63,127,0,127,127,3,0,24
0010493660,127,63,127,0,127,127,3,0,24
0010572780,127,63,127,0,127,127,3,0,24
0010651936,127,63,127,0,127,127,3,0,24
0010731072,127,63,127,0,127,127,3,0,24
0010810232,127,63,127,0,127,127,3,0,24
0010889308,127,63,127,0,127,127,3,0,24
0010965464,127,63,127,0,127,127,3,0,24
0011047436,127,63,127,0,127,127,3,0,24
0011129352,127,63,127,0,127,127,3,0,24
0011205496,127,63,127,0,127,127,3,0,24
0011287468,127,63,127,0,127,127,3,0,24
0011369420,127,63,127,0,127,127,3,0,24
0011451372,127,63,127,0,127,127,3,0,24
0011527472,127,63,127,0,127,127,3,0,24
0011609444,127,63,127,0,127,127,3,0,24
0011691416,127,63,127,0,127,127,3,0,24
0011767556,127,63,127,0,127,127,3,0,24
0011853992,127,63,127,0,127,127,3,0,24
0011937520,127,63,0,0,127,127,2,0,16
0012033996,127,63,0,0,127,127,2,0,16
0012118516,127,63,0,0,127,127,2,0,16
0012203024,127,63,0,0,127,127,2,0,16
0012287504,127,63,0,0,127,127,2,0,16
0012384100,127,63,0,0,127,127,2,0,16
0012468012,127,63,0,0,127,127,2,0,16
0012562052,127,63,0,0,127,127,2,0,16
0012644392,127,63,0,0,127,127,2,0,16
0012726708,127,63,0,0,127,127,2,0,16
0012809048,127,63,0,0,127,127,2,0,16
0012903184,127,0,127,0,127,127,2,7,23
0012986780,127,0,127,0,127,127,2,7,23
0013071284,127,0,127,0,127,127,2,7,23
0013155784,127,0,127,0,127,127,2,7,23
0013240288,127,0,127,0,127,127,2,7,23
0013324748,127,0,127,0,127,127,2,7,23
0013409312,127,0,127,0,127,127,2,7,23
0013504296,127,0,127,0,127,127,2,7,23
0013586636,127,0,127,0,127,127,2,7,23
0013668992,127,0,127,0,127,127,2,7,23
0013763052,127,0,127,0,127,127,2,7,23
0013845412,127,0,127,0,127,127,2,7,23
0013928860,127,63,0,0,127,127,2,0,16
0014025104,127,63,0,0,127,127,2,0,16
0014109612,127,63,0,0,127,127,2,0,16
0014206140,127,63,0,0,127,127,2,0,16
0014290640,127,63,0,0,127,127,2,0,16
0014375228,127,63,0,0,127,127,2,0,16
0014459404,127,63,0,0,127,127,2,0,16
0014553464,127,63,0,0,127,127,2,0,16
0014635760,127,63,0,0,127,127,2,0,16
0014718100,127,63,0,0,127,127,2,0,16
0014800456,127,63,0,0,127,127,2,0,16
0014894576,127,0,127,0,127,127,2,7,23
0014977884,127,0,127,0,127,127,2,7,23
0015062372,127,0,127,0,127,127,2,7,23
0015146900,127,0,127,0,127,127,2,7,23
0015231344,127,0,127,0,127,127,2,7,23
0015315852,127,0,127,0,127,127,2,7,23
0015400412,127,0,127,0,127,127,2,7,23
0015495708,127,0,127,0,127,127,2,7,23
0015578052,127,0,127,0,127,127,2,7,23
0015660408,127,0,127,0,127,127,2,7,23
0015754468,127,0,127,0,127,127,2,7,23
0015836764,127,0,127,0,127,127,2,7,23
0015920280,127,63,0,0,127,127,2,0,16
0016016528,127,63,0,0,127,127,2,0,16
0016101044,127,63,0,0,127,127,2,0,16
0016197560,127,63,0,0,127,127,2,0,16
0016282060,127,63,0,0,127,127,2,0,16
0016366644,127,63,0,0,127,127,2,0,16
0016451144,127,63,0,0,127,127,2,0,16
0016545204,127,63,0,0,127,127,2,0,16
